 -----------------------------------------------------------------------------
   Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta  Sum LM
 -----------------------------------------------------------------------------
       0             -        1.663735E-01            -            1      -
       1             3        9.931440E-02      5.265198E-01       1     1.0
       2             4        9.114733E-02      4.900107E-01       1     1.0
       3             5        8.778936E-02      4.598321E-01       1     1.0
       4             5        8.764370E-02      4.529848E-01       1     1.0
       5             6        8.698107E-02      4.555506E-01       1     1.0
       6             6        8.632423E-02      4.535568E-01       1     1.0
       7             2        8.479994E-02      2.705381E-02       2     1.0
       8             2        8.389030E-02      2.477313E-02       2     1.0
       9             3        8.369417E-02      2.265661E-02       2     1.0
      10             3        8.350432E-02      2.227163E-02       2     1.0
      11             3        8.332054E-02      2.189372E-02       2     1.0
      12             3        8.314656E-02      2.152294E-02       2     1.0
      13             1        8.314140E-02      2.692236E-03       3     1.0
      14             1        8.313527E-02      2.877463E-03       3     1.0
      15             1        8.312775E-02      3.087666E-03       3     1.0
      16             4        8.301128E-02      3.796749E-02       2     1.0
      17             1        8.300178E-02      3.337585E-03       3     1.0
      18             1        8.298993E-02      3.604188E-03       3     1.0
      19             2        8.296519E-02      3.898080E-03       3     1.0
      20             2        8.293961E-02      3.962203E-03       3     1.0
      21             2        8.291318E-02      4.027227E-03       3     1.0
      22             2        8.288587E-02      4.093077E-03       3     1.0
      23             3        8.287921E-02      4.159667E-03       3     1.0
      24             3        8.287250E-02      4.173164E-03       3     1.0
      25             1        8.283507E-02      3.734408E-03       4     1.0
      26             4        8.272385E-02      3.707743E-02       3     1.0
      27             1        8.268166E-02      3.958395E-03       4     1.0
      28             1        8.245663E-02      1.524852E-03       5     1.0
      29             1        8.222414E-02      1.550311E-03       5     1.0
      30             2        8.218063E-02      1.464477E-03       6     1.0
      31             1        8.200009E-02      1.357036E-03       7     1.0
      32             1        8.181349E-02      1.380127E-03       7     1.0
      33             1        8.174792E-02      1.403508E-03       7     1.0
      34             1        8.170094E-02      1.427146E-03       7     1.0
      35             1        8.165189E-02      1.451009E-03       7     1.0
      36             1        8.162254E-02      1.475058E-03       7     1.0
      37             1        8.159964E-02      1.499252E-03       7     1.0
      38             1        8.157605E-02      1.523548E-03       7     1.0
      39             1        8.155177E-02      1.547901E-03       6     1.0
      40             1        8.153322E-02      1.572260E-03       6     1.0
      41             1        8.151453E-02      1.596577E-03       6     1.0
      42             1        8.149527E-02      1.620800E-03       6     1.0
      43             1        8.147544E-02      1.644878E-03       6     1.0
      44             1        8.145504E-02      1.668759E-03       6     1.0
      45             1        8.143408E-02      1.692393E-03       6     1.0
      46             1        8.141256E-02      1.715729E-03       6     1.0
      47             1        8.139049E-02      1.738721E-03       6     1.0
      48             1        8.136787E-02      1.761323E-03       6     1.0
      49             2        8.136150E-02      1.893300E-03       5     1.0
      50             1        8.133820E-02      1.788502E-03       6     1.0
      51             2        8.133163E-02      1.870238E-03       5     1.0
      52             1        8.130769E-02      1.814627E-03       6     1.0
      53             1        8.128324E-02      1.835582E-03       6     1.0
      54             1        8.126321E-02      1.508369E-03       7     1.0
      55             1        8.124271E-02      1.529299E-03       6     1.0
      56             2        8.123803E-02      1.549974E-03       6     1.0
      57             1        8.121717E-02      1.519495E-03       7     1.0
      58             1        8.119583E-02      1.534619E-03       7     1.0
      59             1        8.117402E-02      1.549294E-03       7     1.0
      60             1        8.115175E-02      1.563523E-03       7     1.0
      61             1        8.112902E-02      1.577311E-03       7     1.0
      62             1        8.110586E-02      1.590666E-03       7     1.0
      63             1        8.108226E-02      1.603599E-03       7     1.0
      64             1        8.105824E-02      1.616120E-03       7     1.0
      65             2        8.105076E-02      1.978153E-03       6     1.0
      66             1        8.102624E-02      1.630680E-03       7     1.0
      67             1        8.100132E-02      1.642385E-03       7     1.0
      68             2        8.099577E-02      1.678052E-03       6     1.0
      69             1        8.097038E-02      1.656032E-03       7     1.0
      70             1        8.094461E-02      1.666938E-03       7     1.0
      71             1        8.091848E-02      1.677505E-03       7     1.0
      72             1        8.089199E-02      1.687751E-03       7     1.0
      73             1        8.086515E-02      1.697691E-03       7     1.0
      74             1        8.083797E-02      1.707339E-03       7     1.0
      75             1        8.081046E-02      1.716713E-03       7     1.0
      76             1        8.078263E-02      1.725825E-03       7     1.0
      77             1        8.075449E-02      1.734692E-03       7     1.0
      78             1        8.072605E-02      1.743326E-03       7     1.0
      79             1        8.069730E-02      1.751740E-03       7     1.0
      80             1        8.066827E-02      1.759948E-03       7     1.0
      81             1        8.063895E-02      1.767962E-03       7     1.0
      82             1        8.060936E-02      1.775791E-03       7     1.0
      83             1        8.057922E-02      1.793152E-03       6     1.0
      84             1        8.054908E-02      1.791059E-03       7     1.0
      85             1        8.054797E-02      4.218438E-04       8     1.0
 -----------------------------------------------------------------------------
table  0 &  8.055E-02 &  85 & 139 &  7.037E-02 \\
 -----------------------------------------------------------------------------
   Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta  Sum LM
 -----------------------------------------------------------------------------
       0             -        1.350224E-01            -            1      -
       1             3        7.939005E-02      4.044489E-01       1     1.0
       2             6        7.877952E-02      4.372864E-01       1     1.0
       3             2        6.922978E-02      8.102782E-02       3     1.0
       4             2        6.892078E-02      1.279263E-02       2     1.0
       5             3        6.886494E-02      1.197887E-02       3     1.0
       6             3        6.880964E-02      1.192046E-02       3     1.0
       7             3        6.875489E-02      1.186199E-02       3     1.0
       8             4        6.874381E-02      1.180350E-02       3     1.0
       9             2        6.861788E-02      8.534805E-03       4     1.0
      10             2        6.850000E-02      8.240646E-03       4     1.0
      11             2        6.838946E-02      7.961418E-03       4     1.0
      12             2        6.828563E-02      7.696907E-03       4     1.0
      13             2        6.818794E-02      7.446616E-03       4     1.0
      14             2        6.809588E-02      7.209867E-03       4     1.0
      15             2        6.800900E-02      6.985876E-03       4     1.0
      16             2        6.792690E-02      6.773808E-03       4     1.0
      17             1        6.787577E-02      3.769950E-04       5     1.0
 -----------------------------------------------------------------------------
table  1 &  6.788E-02 &  17 &  44 &  7.799E-03 \\
 -----------------------------------------------------------------------------
   Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta  Sum LM
 -----------------------------------------------------------------------------
       0             -        9.088223E-02            -            1      -
       1             3        7.396033E-02      4.488222E-01       1     1.0
       2             5        7.158067E-02      6.394878E-01       1     1.0
       3             5        6.865255E-02      5.358904E-01       1     1.0
       4             5        6.808673E-02      6.085007E-01       1     1.0
       5             5        6.387027E-02      5.211403E-01       1     1.0
       6             4        6.349622E-02      3.393614E-01       2     1.0
       7             5        6.118982E-02      3.807022E-01       1     1.0
       8             5        5.964900E-02      3.765600E-01       1     1.0
       9             4        5.834505E-02      1.277380E-01       2     1.0
      10             3        5.458493E-02      9.958295E-02       3     1.0
      11             3        5.104396E-02      9.658549E-02       3     1.0
      12             5        5.064129E-02      1.587798E-01       2     1.0
      13             4        5.006037E-02      8.561617E-02       4     1.0
      14             4        4.948572E-02      8.515262E-02       4     1.0
      15             3        4.809303E-02      5.966359E-02       6     1.0
      16             4        4.773747E-02      6.687583E-02       5     1.0
      17             4        4.745878E-02      5.915357E-02       6     1.0
      18             2        4.736090E-02      7.871460E-03       9     1.0
      19             2        4.726448E-02      7.905058E-03       7     1.0
      20             2        4.716978E-02      7.939575E-03       7     1.0
      21             2        4.707707E-02      7.975132E-03       7     1.0
      22             2        4.698667E-02      8.011782E-03       7     1.0
      23             2        4.689938E-02      7.347471E-03       8     1.0
      24             2        4.681431E-02      7.340338E-03       8     1.0
      25             2        4.673039E-02      8.113651E-03       6     1.0
      26             2        4.663838E-02      8.345326E-03       6     1.0
      27             2        4.656140E-02      7.373033E-03       7     1.0
      28             2        4.648776E-02      7.372733E-03       7     1.0
      29             5        4.640823E-02      7.052785E-02       6     1.0
      30             1        4.640226E-02      9.441812E-04       8     1.0
 -----------------------------------------------------------------------------
table  2 &  4.640E-02 &  30 & 100 &  1.737E-02 \\
 -----------------------------------------------------------------------------
   Iterations  Inter. Iter.  Objective func.  Optimality cond.  Idelta  Sum LM
 -----------------------------------------------------------------------------
       0             -        7.984052E-02            -            3      -
       1             3        6.631878E-02      1.880728E-01       3     1.0
       2             4        5.665208E-02      3.397347E-01       3     1.0
       3             4        5.087590E-02      3.272181E-01       4     1.0
       4             5        5.016515E-02      3.653662E-01       1     1.0
       5             5        4.990681E-02      3.150465E-01       3     1.0
       6             5        4.977263E-02      3.356358E-01       3     1.0
       7             5        4.950508E-02      3.145511E-01       3     1.0
       8             6        4.913756E-02      3.344263E-01       3     1.0
       9             4        4.857340E-02      1.004892E-01       5     1.0
      10             3        4.806759E-02      6.479166E-02       5     1.0
      11             6        4.758355E-02      3.892885E-01       2     1.0
      12             4        4.754006E-02      2.354354E-02       4     1.0
      13             2        4.716011E-02      1.612786E-02       5     1.0
      14             3        4.714328E-02      2.256543E-02       4     1.0
      15             6        4.682051E-02      3.177634E-01       3     1.0
      16             2        4.627732E-02      1.536746E-02       6     1.0
      17             3        4.619055E-02      1.524651E-02       5     1.0
      18             1        4.614932E-02      1.305377E-03       6     1.0
      19             1        4.610917E-02      1.300964E-03       5     1.0
